,id_store_img_1,id_store_img_2,id_store_img_3,id_store,store_name,address_x,id,address_y,category,muslim_friendly,tel,working_time,day_closed,parking,attractions,active,image0,image1,image2,
65,31,32,33,66,마지,서울특별시 종로구 체부동 132-1,130250,서울특별시 종로구 체부동 132-1,한식,무슬림 프렌들리,02-536-5228,"11:30-21:00(월-토요일), 12:00-20:30(일요일)",명절 당일,O,서래마을,1,https://media-cdn.tripadvisor.com/media/photo-p/12/11/69/1b/photo2jpg.jpg,https://media-cdn.tripadvisor.com/media/photo-s/09/4e/1e/23/maji.jpg,https://t1.daumcdn.net/cfile/tistory/99BA9D4B5CE131AD20,"INSERT INTO store_image_temp VALUES ('31','66','https://media-cdn.tripadvisor.com/media/photo-p/12/11/69/1b/photo2jpg.jpg','1'),('32','66','https://media-cdn.tripadvisor.com/media/photo-s/09/4e/1e/23/maji.jpg','1'),('33','66','https://t1.daumcdn.net/cfile/tistory/99BA9D4B5CE131AD20','1');"
69,34,35,36,70,모모야마,서울특별시 중구 소공동 1 롯데호텔 본관 38층,149326,서울특별시 중구 소공동 1 롯데호텔서울 본관 38층,일식,무슬림 프렌들리,02-317-7031,11:30~22:00-(브레이크 타임 15:00-~18:00-),,O,"덕수궁, 청계천, 명동",1,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/momoyama/180821-12-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/momoyama/180821-11-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/momoyama/180821-13-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,"INSERT INTO store_image_temp VALUES ('34','70','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/momoyama/180821-12-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1'),('35','70','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/momoyama/180821-11-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1'),('36','70','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/momoyama/180821-13-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1');"
72,37,38,39,73,피에르 가니에르 서울,서울특별시 중구 소공동 1 롯데호텔 신관 35층,,,양식,무슬림 프렌들리,02-317-7181,"12:00-15:00 점심, 18:00-22:00 저녁",,O,"덕수궁, 청계천, 명동",1,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/pierre-gagnaire/180711-35-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/pierre-gagnaire/180711-34-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0a/31/fc/11/caption.jpg,"INSERT INTO store_image_temp VALUES ('37','73','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/pierre-gagnaire/180711-35-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1'),('38','73','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/pierre-gagnaire/180711-34-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1'),('39','73','https://media-cdn.tripadvisor.com/media/photo-s/0a/31/fc/11/caption.jpg','1');"
78,40,41,42,79,무궁화,서울특별시 중구 소공동 1 롯데호텔 본관 38층,152208,서울특별시 중구 소공동 1 롯데호텔서울 본관 38층,한식,무슬림 프렌들리,02-317-7061,11:30-22:00(브레이크 타임 14:30-18:00),,O,"덕수궁, 청계천, 명동",1,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/mugunghwa/180821-18-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/mugunghwa/180821-15-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/mugunghwa/180821-17-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,"INSERT INTO store_image_temp VALUES ('40','79','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/mugunghwa/180821-18-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1'),('41','79','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/mugunghwa/180821-15-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1'),('42','79','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/mugunghwa/180821-17-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1');"
84,43,44,45,85,도림,서울특별시 중구 소공동 1 롯데호텔 본관 37층,95331,서울특별시 중구 소공동 1 롯데호텔서울 본관 37층,중식,무슬림 프렌들리,02-317-7101,11:30-22:00(브레이크 타임 14:30-18:00),,O,"덕수궁, 청계천, 명동",1,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/toh-lim/180821-6-2000-din-seoul-hotel.jpg.thumb.768.768.jpg,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/toh-lim/180821-8-2000-din-seoul-hotel.jpg.thumb.480.480.jpg,https://www.lottehotel.com/content/dam/lotte-hotel/lotte/world/dining/restaurant/tohlim/170706-24-2000-din-world-hotel1.jpg.thumb.768.768.jpg,"INSERT INTO store_image_temp VALUES ('43','85','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/toh-lim/180821-6-2000-din-seoul-hotel.jpg.thumb.768.768.jpg','1'),('44','85','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/seoul/dining/restaurant/toh-lim/180821-8-2000-din-seoul-hotel.jpg.thumb.480.480.jpg','1'),('45','85','https://www.lottehotel.com/content/dam/lotte-hotel/lotte/world/dining/restaurant/tohlim/170706-24-2000-din-world-hotel1.jpg.thumb.768.768.jpg','1');"
86,46,47,48,87,페르시안궁전,서울특별시 종로구 명륜2가 121-1,430933,서울특별시 종로구 명륜2가 121-1 1층,인도음식,무슬림 프렌들리,02-763-6050,11:30-22:00,연중무휴,X,"대학로, 창덕궁과 후원",1,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=13305&fileTy=MEDIA&fileNo=1&thumbTy=L,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=13302&fileTy=MEDIA&fileNo=1&thumbTy=L,https://mblogthumb-phinf.pstatic.net/MjAxODA3MTZfMTU0/MDAxNTMxNzAwMDEyNTQ1.c2yXXdBqA6KU9fuvEQgdgw26Rw5e2M_Q_PD6GPjdlikg.JIKN8fKhcQOHRj_xEpBcwuWe1e8dUREbRPzvEY4ABQIg.JPEG.kkw2kky/%ED%8E%98%EB%A5%B4%EC%8B%9C%EC%95%88%EA%B6%81%EC%A0%84_%EB%A9%94%EB%89%B4%ED%8C%90_%283%29.JPG?type=w800,"INSERT INTO store_image_temp VALUES ('46','87','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=13305&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('47','87','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=13302&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('48','87','https://mblogthumb-phinf.pstatic.net/MjAxODA3MTZfMTU0/MDAxNTMxNzAwMDEyNTQ1.c2yXXdBqA6KU9fuvEQgdgw26Rw5e2M_Q_PD6GPjdlikg.JIKN8fKhcQOHRj_xEpBcwuWe1e8dUREbRPzvEY4ABQIg.JPEG.kkw2kky/%ED%8E%98%EB%A5%B4%EC%8B%9C%EC%95%88%EA%B6%81%EC%A0%84_%EB%A9%94%EB%89%B4%ED%8C%90_%283%29.JPG?type=w800','1');"
87,49,50,51,88,럭치미,서울특별시 영등포구 영등포동4가 425-4,120485,서울특별시 영등포구 영등포동4가 425-4,인도음식,무슬림 프렌들리,02-2068-3079,11:00-22:30,연중무휴,X,여의도샛강생태공원,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSBJjqQPSBcNh6y9HpOoERNMf9zNh0phvxv8ky7pJR9fUts0jppp621xcHR4zPUVVRHao&usqp=CAU,https://mblogthumb-phinf.pstatic.net/MjAxOTAxMTNfMjg0/MDAxNTQ3MzcyOTExNTQ4.gReBuUyMmJ0Xd39Q3oEQztwCe0qZQFqAhiV1Q7xi4SYg.uCd7SOI9EU3tknzALNomhbfYhX9diYroc1zKTtcBIgQg.JPEG.beckham8916/NaverBlog_20190113_184830_02.jpg?type=w2,https://mblogthumb-phinf.pstatic.net/MjAxOTAxMTNfNTAg/MDAxNTQ3MzcyOTQ1MDM5.GNUgMiNtcQAsgRGdsgqpWJsXswRjw85dY6A4G7440MEg.sbMkNfIaX6mnE2LcPxseMBvwCbCC2PQ57GXNdvNAH68g.JPEG.beckham8916/NaverBlog_20190113_184904_40.jpg?type=w2,"INSERT INTO store_image_temp VALUES ('49','88','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSBJjqQPSBcNh6y9HpOoERNMf9zNh0phvxv8ky7pJR9fUts0jppp621xcHR4zPUVVRHao&usqp=CAU','1'),('50','88','https://mblogthumb-phinf.pstatic.net/MjAxOTAxMTNfMjg0/MDAxNTQ3MzcyOTExNTQ4.gReBuUyMmJ0Xd39Q3oEQztwCe0qZQFqAhiV1Q7xi4SYg.uCd7SOI9EU3tknzALNomhbfYhX9diYroc1zKTtcBIgQg.JPEG.beckham8916/NaverBlog_20190113_184830_02.jpg?type=w2','1'),('51','88','https://mblogthumb-phinf.pstatic.net/MjAxOTAxMTNfNTAg/MDAxNTQ3MzcyOTQ1MDM5.GNUgMiNtcQAsgRGdsgqpWJsXswRjw85dY6A4G7440MEg.sbMkNfIaX6mnE2LcPxseMBvwCbCC2PQ57GXNdvNAH68g.JPEG.beckham8916/NaverBlog_20190113_184904_40.jpg?type=w2','1');"
88,52,53,54,89,포렌 레스토랑,서울특별시 용산구 이태원동 136-45,,,인도음식,무슬림 자가 인증,02-794-9292,11:30-22:00,,X,"국립중앙박물관, 이태원 쇼핑거리",1,https://t1.daumcdn.net/cfile/tistory/993D9C4F5B5CE7DE0C,https://t1.daumcdn.net/cfile/tistory/990D4A4E5B5CE7DF09,https://t1.daumcdn.net/cfile/tistory/99F2F83A5B5CE7E00F,"INSERT INTO store_image_temp VALUES ('52','89','https://t1.daumcdn.net/cfile/tistory/993D9C4F5B5CE7DE0C','1'),('53','89','https://t1.daumcdn.net/cfile/tistory/990D4A4E5B5CE7DF09','1'),('54','89','https://t1.daumcdn.net/cfile/tistory/99F2F83A5B5CE7E00F','1');"
89,55,56,57,90,델리인디아,서울특별시 마포구 서교동 402-6,94067,서울특별시 마포구 서교동 402-6 2층,인도음식,무슬림 프렌들리,02-2631-2109,11:00-22:30,,O,"홍대, 상수동, 합정동",1,https://media-cdn.tripadvisor.com/media/photo-s/13/38/84/ed/delhi-india.jpg,https://media-cdn.tripadvisor.com/media/photo-s/13/38/85/15/delhi-india.jpg,https://media-cdn.tripadvisor.com/media/photo-s/11/09/40/7d/delhi-india.jpg,"INSERT INTO store_image_temp VALUES ('55','90','https://media-cdn.tripadvisor.com/media/photo-s/13/38/84/ed/delhi-india.jpg','1'),('56','90','https://media-cdn.tripadvisor.com/media/photo-s/13/38/85/15/delhi-india.jpg','1'),('57','90','https://media-cdn.tripadvisor.com/media/photo-s/11/09/40/7d/delhi-india.jpg','1');"
90,58,59,60,91,마더인디아,서울특별시 영등포구 여의도동 43-4 롯데캐슬아이비 지하1층 102호,127192,서울특별시 영등포구 여의도동 43-4,인도음식,무슬림 프렌들리,02-761-8280,11:00-21:30,연중무휴,O,"여의도 한강공원, 63 스퀘어",1,https://mblogthumb-phinf.pstatic.net/MjAxOTExMTFfMjQ3/MDAxNTczNDc4NTcwMTEx.5kwqRIS6W7nuOTyGW5Xj-OBvMlG7EjHkEaWP5YIKejsg.GSwuhPt4D5Z7q5rRofr4jcaF2-xpD41mXPlA1YZrW9Ig.JPEG.k1303/DSC06542.JPG?type=w800,https://mblogthumb-phinf.pstatic.net/MjAxOTEyMDVfMTYz/MDAxNTc1NTM0MTkwMDM2.kegZeZrdMkEsJ_jyGQ6pFTDjY2keNEBCNkuMKZobRl0g.r5KdjW-Zh0Ijs0rDj11jsRa6Bewq4mO0JJfuU6y04Swg.JPEG.guppike/IMG_4661.JPG?type=w800,https://fastly.4sqi.net/img/general/600x600/3374328_vQ-fRJ0moxBzQGO_S-B6ZMNGWfkFIaf07aeEl5jnvcs.jpg,"INSERT INTO store_image_temp VALUES ('58','91','https://mblogthumb-phinf.pstatic.net/MjAxOTExMTFfMjQ3/MDAxNTczNDc4NTcwMTEx.5kwqRIS6W7nuOTyGW5Xj-OBvMlG7EjHkEaWP5YIKejsg.GSwuhPt4D5Z7q5rRofr4jcaF2-xpD41mXPlA1YZrW9Ig.JPEG.k1303/DSC06542.JPG?type=w800','1'),('59','91','https://mblogthumb-phinf.pstatic.net/MjAxOTEyMDVfMTYz/MDAxNTc1NTM0MTkwMDM2.kegZeZrdMkEsJ_jyGQ6pFTDjY2keNEBCNkuMKZobRl0g.r5KdjW-Zh0Ijs0rDj11jsRa6Bewq4mO0JJfuU6y04Swg.JPEG.guppike/IMG_4661.JPG?type=w800','1'),('60','91','https://fastly.4sqi.net/img/general/600x600/3374328_vQ-fRJ0moxBzQGO_S-B6ZMNGWfkFIaf07aeEl5jnvcs.jpg','1');"
91,61,62,63,92,오샬,서울특별시 성북구 안암동5가 146-5 문원빌딩,293759,서울시 성북구 안암동5가 146-5,인도음식,무슬림 프렌들리,010-4864-3644,11:30-21:30,연중무휴,O,"세종대왕기념관, 서울 정릉",1,https://www.menupan.com/restaurant/restimg/002/zzmenuimg/t16825232_z.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0a/a5/0f/84/osyal.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0a/0c/1f/e9/osyal.jpg,"INSERT INTO store_image_temp VALUES ('61','92','https://www.menupan.com/restaurant/restimg/002/zzmenuimg/t16825232_z.jpg','1'),('62','92','https://media-cdn.tripadvisor.com/media/photo-s/0a/a5/0f/84/osyal.jpg','1'),('63','92','https://media-cdn.tripadvisor.com/media/photo-s/0a/0c/1f/e9/osyal.jpg','1');"
92,64,65,66,93,키친오브인디아,서울특별시 송파구 방이동 22 대우유토피아오피스텔,412197,서울특별시 송파구 방이동 22,인도음식,무슬림 프렌들리,070-4858-7188,"주중(월-금요일) 11:30-22:00, 주말(토-일요일) 및 공휴일 12:00-22:00",,O,"롯데월드, 올림픽공원",1,https://media-cdn.tripadvisor.com/media/photo-s/11/9b/80/52/restaurant.jpg,https://media-cdn.tripadvisor.com/media/photo-s/11/9b/80/5a/inside.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcAtkYKoSVVYyQ7jAobaUD__tl77P3bZzUJQvH4YeD8GpgDnvJTIJ-5HfgjLrMyQ4e51w&usqp=CAU,"INSERT INTO store_image_temp VALUES ('64','93','https://media-cdn.tripadvisor.com/media/photo-s/11/9b/80/52/restaurant.jpg','1'),('65','93','https://media-cdn.tripadvisor.com/media/photo-s/11/9b/80/5a/inside.jpg','1'),('66','93','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcAtkYKoSVVYyQ7jAobaUD__tl77P3bZzUJQvH4YeD8GpgDnvJTIJ-5HfgjLrMyQ4e51w&usqp=CAU','1');"
93,67,68,69,94,두르가 종각점,서울특별시 종로구 관철동 45-2,,,인도음식,무슬림 프렌들리,02-720-4786,11:00-21:30,,X,"광화문광장, 인사동, 청계천",1,https://media-cdn.tripadvisor.com/media/photo-s/0a/0b/4d/76/the-interior.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191130064141_menu2_49cacd37483c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191130064141_menu3_49cacd37483c.jpg,"INSERT INTO store_image_temp VALUES ('67','94','https://media-cdn.tripadvisor.com/media/photo-s/0a/0b/4d/76/the-interior.jpg','1'),('68','94','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191130064141_menu2_49cacd37483c.jpg','1'),('69','94','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191130064141_menu3_49cacd37483c.jpg','1');"
